Workload_ID,Employee_ID,Date,Hours_Logged
WKLD-001,EMP001,2024-01-08,8.0
WKLD-002,EMP015,2024-01-09,7.5
WKLD-003,EMP032,2024-01-12,9.0
WKLD-004,EMP005,2024-01-15,6.5
WKLD-005,EMP044,2024-01-18,8.0
WKLD-006,EMP021,2024-01-20,7.0
WKLD-007,EMP010,2024-01-25,8.5
WKLD-008,EMP038,2024-01-29,9.5
WKLD-009,EMP002,2024-02-02,6.0
WKLD-010,EMP049,2024-02-05,8.0
WKLD-011,EMP018,2024-02-08,7.5
WKLD-012,EMP026,2024-02-12,8.5
WKLD-013,EMP007,2024-02-15,9.0
WKLD-014,EMP035,2024-02-18,6.5
WKLD-015,EMP012,2024-02-20,8.0
WKLD-016,EMP041,2024-02-22,7.0
WKLD-017,EMP004,2024-02-25,9.5
WKLD-018,EMP029,2024-02-28,8.0
WKLD-019,EMP016,2024-03-02,6.0
WKLD-020,EMP045,2024-03-05,7.5
WKLD-021,EMP033,2024-03-08,8.5
WKLD-022,EMP022,2024-03-12,9.0
WKLD-023,EMP009,2024-03-15,7.0
WKLD-024,EMP031,2024-03-19,8.0
WKLD-025,EMP048,2024-03-22,6.5
WKLD-026,EMP014,2024-03-25,9.5
WKLD-027,EMP006,2024-03-28,8.0
WKLD-028,EMP025,2024-04-01,7.5
WKLD-029,EMP039,2024-04-05,6.0
WKLD-030,EMP042,2024-04-08,8.5
WKLD-031,EMP003,2024-04-12,9.0
WKLD-032,EMP017,2024-04-15,7.0
WKLD-033,EMP024,2024-04-19,8.0
WKLD-034,EMP050,2024-04-22,6.5
WKLD-035,EMP013,2024-04-26,9.5
WKLD-036,EMP036,2024-05-02,8.0
WKLD-037,EMP046,2024-05-05,7.5
WKLD-038,EMP008,2024-05-09,8.5
WKLD-039,EMP028,2024-05-12,6.0
WKLD-040,EMP034,2024-05-15,9.0
WKLD-041,EMP019,2024-05-18,7.0
WKLD-042,EMP043,2024-05-22,8.0
WKLD-043,EMP023,2024-05-26,9.5
WKLD-044,EMP011,2024-05-30,6.5
WKLD-045,EMP027,2024-06-03,8.5
WKLD-046,EMP040,2024-06-07,7.5
WKLD-047,EMP001,2024-06-11,8.0
WKLD-048,EMP030,2024-06-15,6.0
WKLD-049,EMP037,2024-06-20,9.0
WKLD-050,EMP020,2024-06-25,7.0
WKLD-051,EMP047,2024-06-29,8.5
WKLD-052,EMP005,2024-07-03,9.5
WKLD-053,EMP015,2024-07-08,8.0
WKLD-054,EMP032,2024-07-12,6.5
WKLD-055,EMP044,2024-07-15,7.5
WKLD-056,EMP002,2024-07-19,9.0
WKLD-057,EMP010,2024-07-23,8.0
WKLD-058,EMP021,2024-07-28,6.0
WKLD-059,EMP038,2024-08-01,8.5
WKLD-060,EMP049,2024-08-05,9.5
WKLD-061,EMP012,2024-08-10,7.0
WKLD-062,EMP026,2024-08-14,8.0
WKLD-063,EMP007,2024-08-18,6.5
WKLD-064,EMP035,2024-08-22,9.0
WKLD-065,EMP018,2024-08-27,7.5
WKLD-066,EMP041,2024-08-31,8.5
WKLD-067,EMP004,2024-09-04,6.0
WKLD-068,EMP029,2024-09-08,8.0
WKLD-069,EMP016,2024-09-12,9.5
WKLD-070,EMP045,2024-09-17,7.0
WKLD-071,EMP033,2024-09-22,8.5
WKLD-072,EMP022,2024-09-26,6.5
WKLD-073,EMP009,2024-10-01,9.0
WKLD-074,EMP031,2024-10-05,8.0
WKLD-075,EMP048,2024-10-09,7.5
WKLD-076,EMP014,2024-10-14,6.0
WKLD-077,EMP006,2024-10-18,8.5
WKLD-078,EMP025,2024-10-23,9.5
WKLD-079,EMP039,2024-10-28,8.0
WKLD-080,EMP042,2024-11-02,7.0
WKLD-081,EMP003,2024-11-06,6.5
WKLD-082,EMP017,2024-11-10,9.0
WKLD-083,EMP024,2024-11-15,8.0
WKLD-084,EMP050,2024-11-19,7.5
WKLD-085,EMP013,2024-11-23,8.5
WKLD-086,EMP036,2024-11-28,6.0
WKLD-087,EMP046,2024-12-01,9.5
WKLD-088,EMP008,2024-12-05,8.0
WKLD-089,EMP028,2024-12-08,7.0
WKLD-090,EMP034,2024-12-12,8.5
WKLD-091,EMP019,2024-12-15,6.5
WKLD-092,EMP043,2024-12-18,9.0
WKLD-093,EMP023,2024-12-21,7.5
WKLD-094,EMP011,2024-12-23,8.0
WKLD-095,EMP027,2024-12-25,6.0
WKLD-096,EMP040,2024-12-27,8.5
WKLD-097,EMP001,2024-12-28,9.5
WKLD-098,EMP030,2024-12-29,7.0
WKLD-099,EMP037,2024-12-30,8.0
WKLD-100,EMP020,2024-12-31,6.5